"PA" "lAltitude" "lMeanDepth" "lalkalinity" "lcolour" "logtp" "meantemp"
"26" 1 5.21493575760899 2.86789890204411 -0.999672340813206 4.52178857704904 2.99573 16.6
"27" 0 5.41610040220442 -0.693147180559945 0.136277618292548 5.01063529409626 4.33947 15.86666667
"28" 0 5.41610040220442 -0.693147180559945 0.167207918983906 4.88658264542628 4.09434 16.85
"29" 1 5.41610040220442 -0.693147180559945 0.316269529303694 4.39444915467244 4.60517 14.075
"30" 1 5.54907608489522 0 0.430482871083452 3.71357206670431 2.70805 18.5
"31" 1 5.54907608489522 0 0.453620149995212 3.89182029811063 3.21888 16.4
"34" 1 5.4971682252932 -0.356674943938732 0.602127782172777 3.78418963391826 3.21888 18.8
"35" 0 5.4971682252932 -0.356674943938732 0.68208623320052 3.45315712059287 2.63906 16.7
"36" 1 4.85203026391962 1.6094379124341 -0.0661398025045449 2.73436750941958 2.63906 16.8
"37" 1 4.85203026391962 1.6094379124341 0.043059489460447 2.98061863574394 3.52636 12.16666667
"40" 1 4.21950770517611 1.66770682055808 -1.34067111109547 3.18359401058544 2.94444 17.5
"41" 0 4.21950770517611 1.66770682055808 -0.867500567704723 2.05412373369555 3.29584 13.96666667
"42" 1 4.21950770517611 1.66770682055808 -0.481266821524446 2.06686275947298 3.17805 17.5
"43" 1 4.969813299576 3.23080439573347 -1.10262031006565 1.75785791755237 2.74727 16.5
"44" 1 4.969813299576 3.23080439573347 -0.843970070294529 1.90210752639692 3.52636 21.1
"45" 1 4.969813299576 3.23080439573347 -0.579818495252942 1.88706964903238 3.4012 16.1
"46" 0 4.33073334028633 1.70474809223843 -1.96611285637283 2.01490302054226 2.11021 18.75
"47" 1 4.33073334028633 1.70474809223843 -1.71479842809193 3.0130809118886 3.61092 18.8
"48" 1 4.33073334028633 1.70474809223843 -0.978166135592243 2.02814824729229 3.3322 16.8
"49" 1 4.8283137373023 2.12823170584927 -1.55116900431012 2.4423470353692 1.79176 17.8
"50" 1 4.8283137373023 2.12823170584927 -1.22417551164346 1.68639895357023 3.054 15.9
"51" 1 4.8283137373023 2.12823170584927 -1.17765549600856 2.17475172148416 1.60944 18.1
"52" 1 4.8283137373023 2.12823170584927 -0.839329690738027 1.93152141160321 3.63759 14.6
"53" 1 4.56434819146784 3.2846635654062 -3.68887945411394 0.22314355131421 3.68888 16.35
"54" 0 4.56434819146784 3.2846635654062 -2.99573227355399 2.29253475714054 0.22314 17.3
"55" 1 4.56434819146784 3.2846635654062 -2.36446049671213 0.22314355131421 2.99573 14.2
"56" 1 5.18178355029209 2.77881927199042 -3.68887945411394 2.59525470695687 0.22314 14
"57" 0 5.18178355029209 2.77881927199042 -2.95651156040071 2.17475172148416 2.65676 15.8
"58" 0 5.18178355029209 2.77881927199042 -2.10373423424888 2.15176220325946 4.62497 15.2
"59" 0 4.63472898822964 2.8094026953625 -3.68887945411394 0.22314355131421 3.49651 15.8
"60" 1 4.63472898822964 2.8094026953625 -3.06830296638883 0.22314355131421 2.94707 16.5
"61" 0 4.63472898822964 2.8094026953625 -2.99573227355399 1.23110147171419 2.67415 13.5
"63" 0 4.72738781871234 2.87919845729804 -3.68887945411394 0.22314355131421 0.22314 17.2
