"","Gender","Age","Decade","Average","Variance"
"1","F","O","00",475.485016835017,17346.4647636407
"2","F","O","70",504.86875502008,33081.3132432237
"3","F","Y","00",557.592111959288,17829.6945017112
"4","F","Y","70",506.16538071066,23541.2899893112
"5","M","O","00",416.900139043382,12028.6159971991
"6","M","O","70",447.182352941176,11128.2831046545
"7","M","Y","00",503.002875629044,14967.5021931636
"8","M","Y","70",561.858651685393,21036.6658249517
